File,GrandTotal_Greedy,GrandTotal_Tabu,GrandTotal_Bee
C101.txt,22951,15363,20652.0
C102.txt,21642,11473,16285.0
C103.txt,15174,9456,12950.0
C104.txt,13685,7761,9711.0
C105.txt,19606,11497,12453.0
C106.txt,17783,10614,16021.0
C107.txt,16291,9735,15134.0
C108.txt,15053,8347,12990.0
C109.txt,12625,7404,11361.0
C201.txt,45135,9789,18265.0
C202.txt,33183,7970,11530.0
C203.txt,29802,6276,7973.0
C204.txt,17995,4885,5907.0
C205.txt,37493,6057,7792.0
C206.txt,29765,5205,8957.0
C207.txt,27528,4847,8201.0
C208.txt,27714,5829,6853.0
R101.txt,10924,8325,9424.0
R102.txt,10044,7053,8541.0
R103.txt,8889,6456,7582.0
R104.txt,8041,5833,6704.0
R105.txt,9526,7218,7770.0
R106.txt,8709,6450,7826.0
R107.txt,8801,6149,7250.0
R108.txt,7349,5559,6520.0
R109.txt,7826,6258,7528.0
R110.txt,7839,6156,7049.0
R111.txt,7626,5963,7011.0
R112.txt,7197,5441,
R201.txt,13334,3957,6271.0
R202.txt,11176,3599,5384.0
R203.txt,9932,3517,4534.0
R204.txt,8933,2816,3682.0
R205.txt,9871,2953,4674.0
R206.txt,8324,2661,4298.0
R207.txt,7808,2732,3704.0
R208.txt,6621,2484,3198.0
R209.txt,9256,2856,3996.0
R210.txt,10457,3056,4529.0
R211.txt,10023,2466,3738.0
RC101.txt,10764,8046,9798.0
RC102.txt,10081,7592,8845.0
RC103.txt,9318,6988,8143.0
RC104.txt,8766,5981,7205.0
RC105.txt,10583,7750,8488.0
RC106.txt,10601,7391,8377.0
RC107.txt,9079,6351,8120.0
RC108.txt,8917,6367,7457.0
RC201.txt,13946,4243,7625.0
RC202.txt,12282,3635,6504.0
RC203.txt,11046,3572,5347.0
RC204.txt,8973,3056,4444.0
RC205.txt,13477,4895,5664.0
RC206.txt,11250,3518,5714.0
RC207.txt,10549,3516,5186.0
RC208.txt,10028,3123,4675.0
