File,GrandTotal_Greedy,GrandTotal_Tabu,GrandTotal_Bee,tabu_over_greedy,bee_over_greedy,tabu_over_bee
C101.txt,22951,15363,20652.0,0.3306174022918391,0.100169927236286,0.2561011040092969
C102.txt,21642,11473,16285.0,0.4698733943258479,0.2475279549025044,0.29548664415105924
C103.txt,15174,9456,12950.0,0.37682878608145515,0.1465664953209437,0.2698069498069498
C104.txt,13685,7761,9711.0,0.4328827183047132,0.29039093898428936,0.20080321285140562
C105.txt,19606,11497,12453.0,0.41359787820055083,0.3648372947057023,0.076768650124468
C106.txt,17783,10614,16021.0,0.40313782826294775,0.0990833942529382,0.33749453841832594
C107.txt,16291,9735,15134.0,0.4024307900067522,0.07102080903566386,0.3567463988370556
C108.txt,15053,8347,12990.0,0.4454925928386368,0.13704909320401248,0.35742879137798306
C109.txt,12625,7404,11361.0,0.4135445544554455,0.10011881188118812,0.3482968048587272
C201.txt,45135,9789,18265.0,0.7831173147224991,0.5953251357039991,0.46405693950177934
C202.txt,33183,7970,11530.0,0.7598167736491577,0.652532923484917,0.30875975715524717
C203.txt,29802,6276,7973.0,0.789410106704248,0.7324676196228441,0.21284334629374138
C204.txt,17995,4885,5907.0,0.7285357043623228,0.6717421505973882,0.17301506686981546
C205.txt,37493,6057,7792.0,0.8384498439708745,0.7921745392473262,0.2226642710472279
C206.txt,29765,5205,8957.0,0.8251301864606081,0.6990760960860071,0.4188902534330691
C207.txt,27528,4847,8201.0,0.8239247311827957,0.7020851496657948,0.4089745153030118
C208.txt,27714,5829,6853.0,0.789673089413293,0.7527242548892257,0.1494236100977674
R101.txt,10924,8325,9424.0,0.23791651409740022,0.13731233980227023,0.11661714770797962
R102.txt,10044,7053,8541.0,0.29778972520908004,0.1496415770609319,0.1742184755883386
R103.txt,8889,6456,7582.0,0.27370907863651706,0.14703566205422433,0.14850962806647322
R104.txt,8041,5833,6704.0,0.2745927123492103,0.16627285163536873,0.12992243436754178
R105.txt,9526,7218,7770.0,0.24228427461683813,0.18433760235145916,0.07104247104247104
R106.txt,8709,6450,7826.0,0.2593868411987599,0.10138936732116202,0.17582417582417584
R107.txt,8801,6149,7250.0,0.30132939438700146,0.17622997386660608,0.15186206896551724
R108.txt,7349,5559,6520.0,0.24357055381684584,0.11280446319227105,0.14739263803680983
R109.txt,7826,6258,7528.0,0.2003577817531306,0.03807820086889854,0.16870350690754515
R110.txt,7839,6156,7049.0,0.21469575200918484,0.10077816047965302,0.12668463611859837
R111.txt,7626,5963,7011.0,0.21806976134277473,0.08064516129032258,0.14947938953073742
R112.txt,7197,5441,,0.24399055161873004,,
R201.txt,13334,3957,6271.0,0.7032398380080996,0.5296985150742463,0.3690001594642003
R202.txt,11176,3599,5384.0,0.6779706513958482,0.5182534001431639,0.3315378900445765
R203.txt,9932,3517,4534.0,0.6458920660491341,0.5434957712444624,0.2243052492280547
R204.txt,8933,2816,3682.0,0.6847643568789881,0.5878204410612337,0.2351982618142314
R205.txt,9871,2953,4674.0,0.7008408469253369,0.5264917434910343,0.36820710312366284
R206.txt,8324,2661,4298.0,0.6803219605958674,0.4836617011052379,0.38087482550023266
R207.txt,7808,2732,3704.0,0.6501024590163934,0.5256147540983607,0.26241900647948163
R208.txt,6621,2484,3198.0,0.6248300860897146,0.5169913910285455,0.22326454033771106
R209.txt,9256,2856,3996.0,0.6914433880726015,0.5682800345721694,0.2852852852852853
R210.txt,10457,3056,4529.0,0.70775557043129,0.5668929903413981,0.32523735924045044
R211.txt,10023,2466,3738.0,0.7539658784794971,0.6270577671355881,0.3402889245585875
RC101.txt,10764,8046,9798.0,0.2525083612040134,0.08974358974358974,0.17881200244947948
RC102.txt,10081,7592,8845.0,0.24690010911615912,0.12260688423767484,0.14166195590729225
RC103.txt,9318,6988,8143.0,0.25005365958360165,0.12610002146383345,0.1418396168488272
RC104.txt,8766,5981,7205.0,0.31770476842345424,0.1780743782797171,0.16988202637057598
RC105.txt,10583,7750,8488.0,0.26769347066049326,0.197958990834357,0.08694627709707822
RC106.txt,10601,7391,8377.0,0.3028016224884445,0.20979152910102822,0.11770323504834666
RC107.txt,9079,6351,8120.0,0.30047362044278003,0.1056283731688512,0.21785714285714286
RC108.txt,8917,6367,7457.0,0.2859706179208254,0.16373219692721766,0.14617138259353626
RC201.txt,13946,4243,7625.0,0.6957550552129643,0.4532482432238635,0.44354098360655736
RC202.txt,12282,3635,6504.0,0.7040384302230906,0.4704445530043967,0.4411131611316113
RC203.txt,11046,3572,5347.0,0.6766250226326272,0.5159333695455368,0.3319618477651019
RC204.txt,8973,3056,4444.0,0.659422712582191,0.5047364315167725,0.31233123312331235
RC205.txt,13477,4895,5664.0,0.6367886028047786,0.579728426207613,0.13576977401129944
RC206.txt,11250,3518,5714.0,0.6872888888888888,0.4920888888888889,0.38431921596079804
RC207.txt,10549,3516,5186.0,0.6666982652384112,0.50838942079818,0.3220208252988816
RC208.txt,10028,3123,4675.0,0.6885719984044675,0.5338053450339051,0.33197860962566844
